,Zone,Date,ConfirmedCases,CasesEstimation,ImportedRisk,ConfirmedCasesWeekLater,Population
0,Albania,2020-02-01,0,5.836961986038936e-05,5.87529967128e-05,0,2877800
1,Albania,2020-02-02,0,8.59079935741274e-05,8.64839127179e-05,0,2877800
2,Albania,2020-02-03,0,5.9030137163567074e-05,5.937009051e-05,0,2877800
3,Albania,2020-02-04,0,6.45534906290642e-05,6.506785940719999e-05,0,2877800
4,Albania,2020-02-05,0,3.330514195532852e-05,3.37806636844e-05,0,2877800
5,Albania,2020-02-06,0,6.616783640378993e-05,6.66472399793e-05,0,2877800
6,Albania,2020-02-07,0,0.00012707896005235205,0.0001278884551261,0,2877800
7,Albania,2020-02-08,0,2.335312003340188e-05,2.3665607967e-05,0,2877800
8,Albania,2020-02-09,0,6.734304225437667e-06,6.8042874591e-06,0,2877800
9,Albania,2020-02-10,0,0.00012674861449185718,0.0001274979626577,0,2877800
10,Albania,2020-02-11,0,0.0001082703427115439,0.00010902577002650001,0,2877800
11,Albania,2020-02-12,0,0.0,0.0,0,2877800
12,Albania,2020-02-13,0,3.0022775542943665e-05,3.03448305184e-05,0,2877800
13,Albania,2020-02-14,0,5.796894112395086e-05,5.85338521398e-05,0,2877800
14,Albania,2020-02-15,0,0.0001133368082458854,0.00011426337269030001,0,2877800
15,Albania,2020-02-16,0,0.00010484236434267254,0.0001055292116249,0,2877800
16,Albania,2020-02-17,0,0.00016866053318100873,0.000169963588643,0,2877800
17,Albania,2020-02-18,0,0.0001154559181064368,0.0001164118332531,0,2877800
18,Albania,2020-02-19,0,9.620731850479422e-05,9.67487104507e-05,0,2877800
19,Albania,2020-02-20,0,0.0,0.0,0,2877800
20,Albania,2020-02-21,0,0.0,0.0,0,2877800
21,Albania,2020-02-22,0,4.131705852063409e-05,4.18081289805e-05,0,2877800
22,Albania,2020-02-23,0,0.005531486907739542,0.0055660866179005,0,2877800
23,Albania,2020-02-24,0,0.008831285021683432,0.0088833888060063,0,2877800
24,Albania,2020-02-25,0,0.0062869572743626916,0.0063282881956579,0,2877800
25,Albania,2020-02-26,0,0.012458869536789381,0.0125301036187204,0,2877800
26,Albania,2020-02-27,0,0.0002901491079818973,0.0002922170501121,0,2877800
27,Albania,2020-02-28,0,0.03230960410880321,0.0324967067519179,0,2877800
28,Albania,2020-02-29,0,0.00015638011871769254,0.0001580542263141,0,2877800
29,Albania,2020-03-01,0,0.04805631553530129,0.048348750982617796,0,2877800
30,Albania,2020-03-02,0,0.061259397859637243,0.061636147178861796,2,2877800
31,Albania,2020-03-03,0,0.054097685930181626,0.0544784172037536,10,2877800
