Zone,Date,ConfirmedCasesWeekLater,Origin,NumPassengers,OriginConfirmed,OriginPopulation,ImportedRisk
Albania,2020-03-01,0,Austria,201.0,14,9006400,0.0003145280267605696
Albania,2020-03-01,0,Belgium,64.32,2,11589616,0.000011231514520025852
Albania,2020-03-01,0,France,119.26,130,65273512,0.0002403435654785447
Albania,2020-03-01,0,Germany,209.04000000000002,130,83783945,0.0003272544653773404
Albania,2020-03-01,0,Greece,100.5,7,10423056,0.00006779431555083188
Albania,2020-03-01,0,Italy,1658.9199999999998,1694,60461828,0.046756070494056445
Albania,2020-03-01,0,Serbia,52.26,0,8737370,0.0
Albania,2020-03-01,0,Switzerland,100.5,27,8654618,0.0003163227335395423
Albania,2020-03-01,0,United Kingdom,224.45,94,67886004,0.00031520586733480363
Albania,2020-03-02,2,Austria,100.5,18,9006400,0.00020204727422996446
Albania,2020-03-02,2,Belgium,64.32,8,11589616,0.00004492605758593192
Albania,2020-03-02,2,Croatia,12.73,7,4105268,0.000021802644621588214
Albania,2020-03-02,2,Germany,221.10000000000002,159,83783945,0.0004236431718977184
Albania,2020-03-02,2,Greece,100.5,7,10423056,0.00006789451605600095
Albania,2020-03-02,2,Italy,1779.52,2036,60461828,0.06028667169919942
Albania,2020-03-02,2,Netherlands,119.26,18,17134873,0.00012677036755506723
Albania,2020-03-02,2,Serbia,83.08,0,8737370,0.0
Albania,2020-03-02,2,United Kingdom,231.15,134,67886004,0.00046239144771647174
Albania,2020-03-03,10,Austria,224.45,21,9006400,0.0005272234839022429
Albania,2020-03-03,10,France,112.56,204,65273512,0.0003554407118048638
Albania,2020-03-03,10,Germany,209.04000000000002,196,83783945,0.0004944507701542008
Albania,2020-03-03,10,Greece,100.5,7,10423056,0.00006779431555083188
Albania,2020-03-03,10,Hungary,100.5,0,9660350,0.0
Albania,2020-03-03,10,Italy,1250.22,2502,60461828,0.05209346816919686
Albania,2020-03-03,10,Serbia,4.02,0,8737370,0.0
Albania,2020-03-03,10,Switzerland,100.5,56,8654618,0.0006560767481285679
Albania,2020-03-03,10,United Kingdom,100.5,189,67886004,0.0002839630050163749
Albania,2020-03-04,12,Austria,100.5,29,9006400,0.0003255206042801235
Albania,2020-03-04,12,Belgium,64.32,23,11589616,0.00012916241200769683
Albania,2020-03-04,12,Germany,209.04000000000002,262,83783945,0.0006590374780562497
Albania,2020-03-04,12,Greece,100.5,9,10423056,0.00008716411986153969
Albania,2020-03-04,12,Italy,1349.38,3089,60461828,0.06934944316680008
Albania,2020-03-04,12,Serbia,83.08,0,8737370,0.0
Albania,2020-03-04,12,United Kingdom,224.45,245,67886004,0.0008208771537496292
Albania,2020-03-05,23,Austria,307.53,41,9006400,0.0014082694633774488
Albania,2020-03-05,23,Belgium,64.32,50,11589616,0.0002803734469245535
Albania,2020-03-05,23,Bulgaria,83.08,0,6948445,0.0
Albania,2020-03-05,23,Germany,328.3,482,83783945,0.0019063473378319045
Albania,2020-03-05,23,Greece,100.5,31,10423056,0.00030023196339597295
Albania,2020-03-05,23,Hungary,100.5,2,9660350,0.000020899093424339155
Albania,2020-03-05,23,Italy,1616.7099999999998,3858,60461828,0.10377184989388163
Albania,2020-03-05,23,North Macedonia,6.7,1,2083380,0.000003220681130452307
Albania,2020-03-05,23,Switzerland,100.5,114,8654618,0.0013355846713082632
Albania,2020-03-05,23,United Kingdom,324.95,294,67886004,0.0014254699453140553
Albania,2020-03-06,33,Austria,100.5,55,9006400,0.0006182791080317096
Albania,2020-03-06,33,Belgium,64.32,109,11589616,0.0006121174212680539
Albania,2020-03-06,33,Germany,233.83,670,83783945,0.0018893636711633547
Albania,2020-03-06,33,Greece,201.0,45,10423056,0.000872929458516741
Albania,2020-03-06,33,Italy,1707.1599999999999,4636,60461828,0.1316440224530822
Albania,2020-03-06,33,Netherlands,119.26,128,17134873,0.0009014780474279767
Albania,2020-03-06,33,Serbia,83.08,1,8737370,0.000009536710412568636
Albania,2020-03-06,33,United Kingdom,324.95,373,67886004,0.0018103502322288822
Albania,2020-03-07,38,Austria,307.53,79,9006400,0.0027134946986899352
Albania,2020-03-07,38,Germany,209.04000000000002,799,83783945,0.0020134404486233464
Albania,2020-03-07,38,Greece,100.5,46,10423056,0.00044550548899660835
Albania,2020-03-07,38,Hungary,100.5,4,9660350,0.000041859964841290745
Albania,2020-03-07,38,Italy,1356.08,5883,60461828,0.13040247444580483
Albania,2020-03-07,38,United Kingdom,100.5,428,67886004,0.0006420994223717068
Albania,2020-03-08,42,Austria,166.16,104,9006400,0.0019300751004005968
Albania,2020-03-08,42,Belgium,119.26,200,11589616,0.002082509227993757
Albania,2020-03-08,42,France,119.26,1126,65273512,0.0020817443728780353
Albania,2020-03-08,42,Germany,209.04000000000002,1040,83783945,0.0026178837095523063
Albania,2020-03-08,42,Greece,100.5,73,10423056,0.0007069978267373701
Albania,2020-03-08,42,Italy,1326.6,7375,60461828,0.16283583676472152
Albania,2020-03-08,42,Switzerland,100.5,337,8654618,0.003948174129219537
Albania,2020-03-08,42,United Kingdom,224.45,482,67886004,0.0016173369087669012
Albania,2020-03-09,51,Austria,83.08,131,9006400,0.001215576109294847
Albania,2020-03-09,51,Belgium,64.32,239,11589616,0.0013421654019900727
Albania,2020-03-09,51,Germany,221.10000000000002,1176,83783945,0.0031333601648397763
Albania,2020-03-09,51,Greece,100.5,73,10423056,0.0007069978267373701
Albania,2020-03-09,51,Italy,617.74,9172,60461828,0.09421596152372219
Albania,2020-03-09,51,Netherlands,119.26,321,17134873,0.002260737380337758
Albania,2020-03-09,51,Serbia,83.08,1,8737370,0.000009536710412568636
Albania,2020-03-09,51,United Kingdom,224.45,629,67886004,0.0021074761720269635
Albania,2020-03-10,55,Austria,290.11,182,9006400,0.005897235001263058
Albania,2020-03-10,55,France,112.56,1784,65273512,0.0031129564664972072
Albania,2020-03-10,55,Germany,278.72,1457,83783945,0.004895892233410711
Albania,2020-03-10,55,Greece,100.5,89,10423056,0.0008619562440421404
Albania,2020-03-10,55,Hungary,100.5,9,9660350,0.00009418492037774494
Albania,2020-03-10,55,Italy,100.5,10149,60461828,0.0169696561453043
Albania,2020-03-10,55,Romania,112.56,25,19237682,0.00014714212230146153
Albania,2020-03-10,55,Switzerland,100.5,491,8654618,0.005760883860719073
Albania,2020-03-10,55,United Kingdom,100.5,887,67886004,0.0013287419853497896
Albania,2020-03-11,59,Austria,83.08,246,9006400,0.002282684604848931
Albania,2020-03-11,59,Belgium,64.32,314,11589616,0.0017607445104087299
Albania,2020-03-11,59,Germany,100.5,1908,83783945,0.0023056351510145497
Albania,2020-03-11,59,Greece,100.5,99,10423056,0.0009588052536715789
Albania,2020-03-11,59,United Kingdom,229.81,1298,67886004,0.0044502615495419055
Albania,2020-03-12,64,Austria,307.53,302,9006400,0.010373103662906186
Albania,2020-03-12,64,Belgium,64.32,314,11589616,0.0017607445104087299
Albania,2020-03-12,64,France,119.26,2281,65273512,0.00421087895242181
Albania,2020-03-12,64,Germany,154.77,2078,83783945,0.003876470201350327
Albania,2020-03-12,64,Greece,100.5,99,10423056,0.0009588052536715789
Albania,2020-03-12,64,Hungary,100.5,13,9660350,0.00013584410603383263
Albania,2020-03-12,64,Serbia,52.26,19,8737370,0.00007209317821373683
Albania,2020-03-12,64,Switzerland,100.5,652,8654618,0.007638599576389945
Albania,2020-03-12,64,United Kingdom,324.95,1787,67886004,0.008664331681086893
Albania,2020-03-13,70,Austria,100.5,504,9006400,0.005657320498614746
Albania,2020-03-13,70,Belgium,64.32,559,11589616,0.003134572595558801
Albania,2020-03-13,70,Germany,221.10000000000002,3675,83783945,0.009791745541672323
Albania,2020-03-13,70,Greece,201.0,190,10423056,0.003682981977789014
Albania,2020-03-13,70,Italy,112.56,17660,60461828,0.02826031530405535
Albania,2020-03-13,70,Netherlands,119.26,804,17134873,0.005654048269361112
Albania,2020-03-13,70,Serbia,83.08,35,8737370,0.00033378485759488427
Albania,2020-03-13,70,United Kingdom,324.95,2266,67886004,0.010991794873254745
Albania,2020-03-14,76,Austria,307.53,655,9006400,0.022497947353896586
Albania,2020-03-14,76,Germany,154.77,4585,83783945,0.008553227428889806
Albania,2020-03-14,76,Greece,100.5,228,10423056,0.002208157354314869
Albania,2020-03-14,76,Hungary,100.5,30,9660350,0.00031394972772233974
Albania,2020-03-14,76,Serbia,52.26,46,8737370,0.0002763571746404609
Albania,2020-03-14,76,United Kingdom,100.5,2630,67886004,0.003945607910531577
Albania,2020-03-15,89,Austria,67.0,860,9006400,0.006435573540337424
Albania,2020-03-15,89,Belgium,119.26,886,11589616,0.009225504344791684
Albania,2020-03-15,89,France,119.26,4499,65273512,0.00831772457200477
Albania,2020-03-15,89,Germany,154.77,5795,83783945,0.010789743077417492
Albania,2020-03-15,89,United Kingdom,231.15,3072,67886004,0.010600940401928487
Albania,2020-03-16,104,Austria,150.07999999999998,1018,9006400,0.017064144615304273
Albania,2020-03-16,104,Belgium,102.51,1058,11589616,0.009469201449054542
Albania,2020-03-16,104,Germany,166.83,7272,83783945,0.014637972758780112
Albania,2020-03-16,104,Italy,112.56,27980,60461828,0.05239796708208828
Albania,2020-03-16,104,Netherlands,119.26,1413,17134873,0.009951456932690896
Albania,2020-03-16,104,United Kingdom,224.45,3684,67886004,0.012353371140169373
Albania,2020-03-17,123,Austria,123.95,1332,9006400,0.01844015288328367
Albania,2020-03-17,123,Germany,154.77,9257,83783945,0.017277674196004098
Albania,2020-03-17,123,Hungary,100.5,50,9660350,0.0005224773163405092
Albania,2020-03-17,123,Switzerland,100.5,2700,8654618,0.03163211986975729
Albania,2020-03-17,123,United Kingdom,4.02,4452,67886004,0.000267555819281793
Albania,2020-03-18,146,Austria,134.0,1646,9006400,0.024634754307466485
Albania,2020-03-18,146,Belgium,64.32,1486,11589616,0.008344993252095662
Albania,2020-03-18,146,Germany,154.77,12327,83783945,0.022973696145984775
Albania,2020-03-19,174,Austria,123.95,2013,9006400,0.02786786679445632
Albania,2020-03-19,174,Belgium,102.51,1795,11589616,0.01606540175424429
Albania,2020-03-19,174,France,119.26,10871,65273512,0.020098199757425345
Albania,2020-03-19,174,Germany,100.5,15320,83783945,0.01859489329216973
Albania,2020-03-19,174,Hungary,100.5,73,9660350,0.0007628168674814768
Albania,2020-03-19,174,Switzerland,100.5,4075,8654618,0.04781145363439842
Albania,2020-03-20,186,Belgium,102.51,2257,11589616,0.02020032319018107
Albania,2020-03-20,186,Germany,112.56,19848,83783945,0.026981693851996568
Albania,2020-03-20,186,Italy,112.56,47021,60461828,0.08805568762193774
Albania,2020-03-20,186,Netherlands,119.26,2994,17134873,0.02108606273774766
Albania,2020-03-21,197,Austria,123.95,2814,9006400,0.03895683240877732
Albania,2020-03-21,197,Bulgaria,6.03,163,6948445,0.00014208278680375529
Albania,2020-03-21,197,Germany,100.5,22213,83783945,0.02696133546305149
Albania,2020-03-21,197,Hungary,100.5,103,9660350,0.0010778939908476014
Albania,2020-03-22,212,Germany,100.5,24873,83783945,0.030056529447296112
Albania,2020-03-22,212,United Kingdom,12.73,10333,67886004,0.0019664688011641904
Albania,2020-03-23,223,United Kingdom,6.03,12668,67886004,0.0011419766115476444
Albania,2020-03-24,243,Italy,112.56,69176,60461828,0.12935387250406327
Albania,2020-03-26,277,France,6.03,29155,65273512,0.002741483063522411
Albania,2020-03-27,304,Austria,100.5,7657,9006400,0.0859479235360849
Albania,2020-03-27,304,Bulgaria,52.26,293,6948445,0.0022134693598323224
Albania,2020-03-27,304,Italy,225.12,86498,60461828,0.323966045451364
Albania,2020-03-28,333,Croatia,112.56,657,4105268,0.018093879083935335
Albania,2020-03-28,333,Italy,89.11,92472,60461828,0.13693229725409958
Albania,2020-03-29,361,Germany,83.08,62095,83783945,0.0620291468462726
Albania,2020-03-30,377,France,83.08,44550,65273512,0.05720739335462968
Albania,2020-03-30,377,Netherlands,12.73,11750,17134873,0.008833053335924662
Albania,2020-03-30,377,Switzerland,83.08,15922,8654618,0.15419977447494843
Albania,2020-03-31,383,Germany,166.16,71808,83783945,0.14378147115675333
Austria,2020-03-01,104,Albania,201.0,0,2877800,0.0
Austria,2020-03-01,104,Belarus,75.71000000000001,1,9449321,0.000008083531725966004
Austria,2020-03-01,104,Belgium,623.77,2,11589616,0.00010837525731034216
Austria,2020-03-01,104,Bosnia and Herzegovina,83.08,0,3280815,0.0
Austria,2020-03-01,104,Bulgaria,499.82,0,6948445,0.0
Austria,2020-03-01,104,Croatia,219.76,7,4105268,0.0003758473597459831
Austria,2020-03-01,104,Czechia,221.09999999999997,3,10708982,0.00006212634251171069
Austria,2020-03-01,104,Denmark,751.74,4,5792203,0.0005229872319486874
Austria,2020-03-01,104,Estonia,107.2,1,1326539,0.00008177227767235549
Austria,2020-03-01,104,Finland,160.13,6,5540718,0.0001754644897337142
Austria,2020-03-01,104,France,1583.8799999999999,130,65273512,0.0031769190504003673
Austria,2020-03-01,104,Germany,8787.049999999997,130,83783945,0.013700604047594076
Austria,2020-03-01,104,Greece,549.4,7,10423056,0.00037278150323546955
Austria,2020-03-01,104,Hungary,235.84,0,9660350,0.0
Austria,2020-03-01,104,Ireland,201.0,1,4937796,0.0000412206729860186
Austria,2020-03-01,104,Italy,1619.39,1694,60461828,0.045639321527770754
Austria,2020-03-01,104,Kosovo,0,0,1810366,0
Austria,2020-03-01,104,Latvia,207.7,0,1886202,0.0
Austria,2020-03-01,104,Lithuania,100.5,1,2722291,0.00003724603234525621
Austria,2020-03-01,104,Luxembourg,148.74,1,625976,0.00023937410758249618
Austria,2020-03-01,104,Malta,100.5,0,441539,0.0
Austria,2020-03-01,104,Moldova,67.0,0,4033963,0.0
Austria,2020-03-01,104,Netherlands,2971.45,10,17134873,0.0017455932340603218
Austria,2020-03-01,104,North Macedonia,291.45,1,2083380,0.00014092974075993736
Austria,2020-03-01,104,Norway,410.71,19,5421242,0.001454386977461785
Austria,2020-03-01,104,Poland,544.71,0,37846605,0.0
Austria,2020-03-01,104,Portugal,786.5799999999999,0,10196707,0.0
Austria,2020-03-01,104,Romania,638.51,3,19237682,0.00010030978567299076
Austria,2020-03-01,104,Serbia,221.1,0,8737370,0.0
Austria,2020-03-01,104,Slovakia,168.84,0,5459643,0.0
Austria,2020-03-01,104,Spain,1746.02,84,46754783,0.0031785597331377116
Austria,2020-03-01,104,Sweden,670.0,14,10099270,0.0009379890578807802
Austria,2020-03-01,104,Switzerland,1285.7300000000002,27,8654618,0.004031411183450932
Austria,2020-03-01,104,Ukraine,1017.06,0,43733759,0.0
Austria,2020-03-01,104,United Kingdom,3930.89,94,67886004,0.005492627903565103
Austria,2020-03-02,131,Albania,201.0,0,2877800,0.0
Austria,2020-03-02,131,Belarus,134.0,1,9449321,0.000014307135798169918
Austria,2020-03-02,131,Belgium,883.73,8,11589616,0.0005555407905691811
Austria,2020-03-02,131,Bosnia and Herzegovina,150.07999999999998,0,3280815,0.0
Austria,2020-03-02,131,Bulgaria,534.66,0,6948445,0.0
Austria,2020-03-02,131,Croatia,326.96,7,4105268,0.0005591776146259541
Austria,2020-03-02,131,Czechia,233.15999999999997,3,10708982,0.00006551035409524736
Austria,2020-03-02,131,Denmark,709.53,4,5792203,0.0004937489467018182
Austria,2020-03-02,131,Estonia,100.5,1,1326539,0.00007666151031783326
Austria,2020-03-02,131,Finland,201.0,6,5540718,0.00022024831347328144
Austria,2020-03-02,131,France,1625.42,191,65273512,0.004791733651364637
Austria,2020-03-02,131,Germany,11193.019999999999,159,83783945,0.021344757018897004
Austria,2020-03-02,131,Greece,525.95,7,10423056,0.0003569161041827812
Austria,2020-03-02,131,Hungary,317.58000000000004,0,9660350,0.0
Austria,2020-03-02,131,Ireland,219.76,1,4937796,0.00004507077684248383
Austria,2020-03-02,131,Italy,1947.0199999999998,2036,60461828,0.06591596394545414
Austria,2020-03-02,131,Kosovo,0,0,1810366,0
Austria,2020-03-02,131,Latvia,333.66,1,1886202,0.00017855442849093865
Austria,2020-03-02,131,Lithuania,286.76,1,2722291,0.0001061185016012754
Austria,2020-03-02,131,Luxembourg,198.32,1,625976,0.00031916547677666155
Austria,2020-03-02,131,Malta,100.5,0,441539,0.0
Austria,2020-03-02,131,Moldova,67.0,0,4033963,0.0
Austria,2020-03-02,131,Montenegro,71.69,0,628062,0.0
Austria,2020-03-02,131,Netherlands,2433.4399999999996,18,17134873,0.0025731149520292758
Austria,2020-03-02,131,North Macedonia,150.07999999999998,1,2083380,0.00007252290377664474
Austria,2020-03-02,131,Norway,391.95,25,5421242,0.0018262564701894731
Austria,2020-03-02,131,Poland,600.9900000000001,0,37846605,0.0
Austria,2020-03-02,131,Portugal,682.73,2,10196707,0.00013603913665045792
Austria,2020-03-02,131,Romania,848.8900000000001,3,19237682,0.00013337997749130018
Austria,2020-03-02,131,Serbia,575.53,0,8737370,0.0
Austria,2020-03-02,131,Slovakia,103.17999999999999,0,5459643,0.0
Austria,2020-03-02,131,Slovenia,100.5,0,2078932,0.0
Austria,2020-03-02,131,Spain,1695.77,120,46754783,0.004408059891393512
Austria,2020-03-02,131,Sweden,284.08,19,10099270,0.0005401887635313393
Austria,2020-03-02,131,Switzerland,1771.48,42,8654618,0.008639437267904304
Austria,2020-03-02,131,Ukraine,1258.26,0,43733759,0.0
Austria,2020-03-02,131,United Kingdom,2247.1799999999994,134,67886004,0.00447614433122213
Austria,2020-03-03,182,Albania,224.45,0,2877800,0.0
Austria,2020-03-03,182,Belarus,67.0,1,9449321,0.0000071641409366497505
Austria,2020-03-03,182,Belgium,852.24,13,11589616,0.000963017877979585
Austria,2020-03-03,182,Bulgaria,418.08,0,6948445,0.0
Austria,2020-03-03,182,Croatia,271.34999999999997,9,4105268,0.0005967795500885601
Austria,2020-03-03,182,Czechia,237.18,5,10708982,0.00011121408598231813
Austria,2020-03-03,182,Denmark,579.55,6,5792203,0.0006053602594547043
Austria,2020-03-03,182,Estonia,107.2,2,1326539,0.0001635445527252423
Austria,2020-03-03,182,Finland,147.39999999999998,6,5540718,0.00016151542988040638
Austria,2020-03-03,182,France,1649.54,204,65273512,0.005195942949049031
Austria,2020-03-03,182,Germany,10372.94,196,83783945,0.02439418209558941
Austria,2020-03-03,182,Greece,626.45,7,10423056,0.0004249650581891107
Austria,2020-03-03,182,Hungary,229.81,0,9660350,0.0
Austria,2020-03-03,182,Iceland,123.95,11,341250,0.00408495478599081
Austria,2020-03-03,182,Ireland,201.0,2,4937796,0.00008250222509578227
Austria,2020-03-03,182,Italy,1518.22,2502,60461828,0.0631986793532385
Austria,2020-03-03,182,Kosovo,0,0,1810366,0
Austria,2020-03-03,182,Latvia,107.2,1,1886202,0.0000573396562343738
Austria,2020-03-03,182,Lithuania,67.0,1,2722291,0.0000248306882301708
Austria,2020-03-03,182,Luxembourg,198.32,1,625976,0.0003197553112904618
Austria,2020-03-03,182,Malta,100.5,0,441539,0.0
Austria,2020-03-03,182,Moldova,167.5,0,4033963,0.0
Austria,2020-03-03,182,Netherlands,1633.46,24,17134873,0.00230481301148426
Austria,2020-03-03,182,North Macedonia,83.08,1,2083380,0.00004011378702959587
Austria,2020-03-03,182,Poland,700.1500000000001,0,37846605,0.0
Austria,2020-03-03,182,Portugal,233.83,2,10196707,0.00004672326069208186
Austria,2020-03-03,182,Romania,774.52,3,19237682,0.00012158329162930999
Austria,2020-03-03,182,Serbia,483.73999999999995,0,8737370,0.0
Austria,2020-03-03,182,Slovakia,101.84,0,5459643,0.0
Austria,2020-03-03,182,Slovenia,100.5,0,2078932,0.0
Austria,2020-03-03,182,Spain,1742.0,165,46754783,0.006235203584181295
Austria,2020-03-03,182,Sweden,240.53,32,10099270,0.0007707415514490323
Austria,2020-03-03,182,Switzerland,1389.5800000000002,56,8654618,0.009038861456503304
Austria,2020-03-03,182,Ukraine,1112.8700000000001,1,43733759,0.000025705223579842827
Austria,2020-03-03,182,United Kingdom,1745.3499999999995,189,67886004,0.004901617077254071
Austria,2020-03-04,246,Albania,201.0,0,2877800,0.0
Austria,2020-03-04,246,Belarus,232.49,6,9449321,0.00014893728240641485
Austria,2020-03-04,246,Belgium,859.61,23,11589616,0.0017185703880121727
Austria,2020-03-04,246,Bosnia and Herzegovina,183.57999999999998,0,3280815,0.0
Austria,2020-03-04,246,Bulgaria,464.97999999999996,0,6948445,0.0
Austria,2020-03-04,246,Croatia,250.57999999999998,10,4105268,0.0006121920987594076
Austria,2020-03-04,246,Czechia,344.38,8,10708982,0.0002580232404346865
Austria,2020-03-04,246,Denmark,755.09,10,5792203,0.0013127906110067817
Austria,2020-03-04,246,Finland,164.82,6,5540718,0.00018087055042590412
Austria,2020-03-04,246,France,1859.92,285,65273512,0.00818176998305916
Austria,2020-03-04,246,Germany,10513.639999999998,262,83783945,0.03304311179167125
Austria,2020-03-04,246,Greece,549.4,9,10423056,0.00047887214936353053
Austria,2020-03-04,246,Hungary,420.76,2,9660350,0.0000873152287684439
Austria,2020-03-04,246,Ireland,219.76,6,4937796,0.0002702079241372966
Austria,2020-03-04,246,Italy,1390.25,3089,60461828,0.07145613282910962
Austria,2020-03-04,246,Kosovo,0,0,1810366,0
Austria,2020-03-04,246,Latvia,314.9,1,1886202,0.00016851998864992324
Austria,2020-03-04,246,Lithuania,167.5,1,2722291,0.00006207672057542701
Austria,2020-03-04,246,Luxembourg,198.32,1,625976,0.00031951927290298937
Austria,2020-03-04,246,Malta,100.5,0,441539,0.0
Austria,2020-03-04,246,Moldova,67.0,0,4033963,0.0
Austria,2020-03-04,246,Montenegro,71.69,0,628062,0.0
Austria,2020-03-04,246,Netherlands,1868.63,38,17134873,0.004170325599611485
Austria,2020-03-04,246,North Macedonia,134.0,1,2083380,0.00006469965649934817
Austria,2020-03-04,246,Norway,462.97,56,5421242,0.004833605874955793
Austria,2020-03-04,246,Poland,673.35,1,37846605,0.00001788314992279077
Austria,2020-03-04,246,Portugal,348.4,5,10196707,0.00017372891219398143
Austria,2020-03-04,246,Romania,623.77,4,19237682,0.00013051779679340198
Austria,2020-03-04,246,Serbia,373.18999999999994,0,8737370,0.0
Austria,2020-03-04,246,Slovakia,53.599999999999994,0,5459643,0.0
Austria,2020-03-04,246,Slovenia,8.04,0,2078932,0.0
Austria,2020-03-04,246,Spain,2192.24,222,46754783,0.01056470105683213
Austria,2020-03-04,246,Sweden,377.21,62,10099270,0.0023386439938047664
Austria,2020-03-04,246,Switzerland,1545.6900000000003,90,8654618,0.016160132951396643
Austria,2020-03-04,246,Ukraine,1125.6,1,43733759,0.000025976375740809712
Austria,2020-03-04,246,United Kingdom,2104.4699999999993,245,67886004,0.007663226885176649
Austria,2020-03-05,302,Albania,224.45,0,2877800,0.0
Austria,2020-03-05,302,Belarus,134.0,6,9449321,0.0000858428140670979
Austria,2020-03-05,302,Belgium,840.1800000000001,50,11589616,0.0036491007731732803
Austria,2020-03-05,302,Bosnia and Herzegovina,83.08,2,3280815,0.00005087084968885565
Austria,2020-03-05,302,Bulgaria,585.5799999999999,0,6948445,0.0
Austria,2020-03-05,302,Croatia,222.44,10,4105268,0.0005436222823247536
Austria,2020-03-05,302,Czechia,235.84,12,10708982,0.00026505783722133747
Austria,2020-03-05,302,Denmark,774.52,10,5792203,0.0013465117876595714
Austria,2020-03-05,302,Estonia,107.2,3,1326539,0.0002449547812109282
Austria,2020-03-05,302,Finland,172.19,12,5540718,0.0003773978606127861
Austria,2020-03-05,302,France,1717.21,377,65273512,0.009992326871751799
Austria,2020-03-05,302,Germany,10744.119999999999,482,83783945,0.06209868310511571
Austria,2020-03-05,302,Greece,525.95,31,10423056,0.0015819675107381199
Austria,2020-03-05,302,Hungary,279.39,2,9660350,0.00005801373491411573
Austria,2020-03-05,302,Ireland,201.0,6,4937796,0.0002471413940280152
Austria,2020-03-05,302,Italy,1934.96,3858,60461828,0.12426920979755655
Austria,2020-03-05,302,Kosovo,0,0,1810366,0
