Zone,Date,ConfirmedCasesWeekLater,Origin,NumPassengers,OriginConfirmed,OriginPopulation
Albania,2020-03-01,0,Austria,201.0,14,9006400
Albania,2020-03-01,0,Belgium,64.32,2,11589616
Albania,2020-03-01,0,France,119.26,130,65273512
Albania,2020-03-01,0,Germany,209.04000000000002,130,83783945
Albania,2020-03-01,0,Greece,100.5,7,10423056
Albania,2020-03-01,0,Italy,1658.9199999999998,1694,60461828
Albania,2020-03-01,0,Serbia,52.26,0,8737370
Albania,2020-03-01,0,Switzerland,100.5,27,8654618
Albania,2020-03-01,0,United Kingdom,224.45,94,67886004
Albania,2020-03-02,2,Austria,100.5,18,9006400
Albania,2020-03-02,2,Belgium,64.32,8,11589616
Albania,2020-03-02,2,Croatia,12.73,7,4105268
Albania,2020-03-02,2,Germany,221.10000000000002,159,83783945
Albania,2020-03-02,2,Greece,100.5,7,10423056
Albania,2020-03-02,2,Italy,1779.52,2036,60461828
Albania,2020-03-02,2,Netherlands,119.26,18,17134873
Albania,2020-03-02,2,Serbia,83.08,0,8737370
Albania,2020-03-02,2,United Kingdom,231.15,134,67886004
Albania,2020-03-03,10,Austria,224.45,21,9006400
Albania,2020-03-03,10,France,112.56,204,65273512
Albania,2020-03-03,10,Germany,209.04000000000002,196,83783945
Albania,2020-03-03,10,Greece,100.5,7,10423056
Albania,2020-03-03,10,Hungary,100.5,0,9660350
Albania,2020-03-03,10,Italy,1250.22,2502,60461828
Albania,2020-03-03,10,Serbia,4.02,0,8737370
Albania,2020-03-03,10,Switzerland,100.5,56,8654618
Albania,2020-03-03,10,United Kingdom,100.5,189,67886004
Albania,2020-03-04,12,Austria,100.5,29,9006400
Albania,2020-03-04,12,Belgium,64.32,23,11589616
Albania,2020-03-04,12,Germany,209.04000000000002,262,83783945
Albania,2020-03-04,12,Greece,100.5,9,10423056
Albania,2020-03-04,12,Italy,1349.38,3089,60461828
Albania,2020-03-04,12,Serbia,83.08,0,8737370
Albania,2020-03-04,12,United Kingdom,224.45,245,67886004
Albania,2020-03-05,23,Austria,307.53,41,9006400
Albania,2020-03-05,23,Belgium,64.32,50,11589616
Albania,2020-03-05,23,Bulgaria,83.08,0,6948445
Albania,2020-03-05,23,Germany,328.3,482,83783945
Albania,2020-03-05,23,Greece,100.5,31,10423056
Albania,2020-03-05,23,Hungary,100.5,2,9660350
Albania,2020-03-05,23,Italy,1616.7099999999998,3858,60461828
Albania,2020-03-05,23,North Macedonia,6.7,1,2083380
Albania,2020-03-05,23,Switzerland,100.5,114,8654618
